,Unnamed: 0,Time Serie,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,AUS_pct,SWTZ_pct,AUS_CDF,SWTZ_CDF
0,0,2000-01-03,1.5172,0.9847,1.9033,0.6146,1.805,1.4465,8.2798,7.7765,43.55,1128.0,9.4015,6.126,1.6563,7.329,101.7,3.8,7.964,8.443,72.3,1.5808,31.38,36.97,,,,
1,1,2000-01-04,1.5239,0.97,1.9238,0.6109,1.8405,1.4518,8.2799,7.7775,43.55,1122.5,9.457,6.085,1.6535,7.218,103.09,3.8,7.934,8.36,72.65,1.5565,30.6,37.13,0.4416029528077958,-1.5371963562753055,0.4416029528077958,-1.5371963562753055
2,2,2000-01-05,1.5267,0.9676,1.9339,0.6092,1.856,1.4518,8.2798,7.778,43.55,1135.0,9.535,6.07,1.656,7.208,103.77,3.8,7.935,8.353,72.95,1.5526,30.8,37.1,0.18373909049149706,-0.2505621586893714,0.6253420432992929,-1.7877585149646769
3,3,2000-01-06,1.5291,0.9686,1.9436,0.607,1.84,1.4571,8.2797,7.7785,43.55,1146.5,9.567,6.08,1.6655,7.2125,105.19,3.8,7.94,8.3675,72.95,1.554,31.75,37.62,0.15720180782079485,0.0901713255184955,0.7825438511200877,-1.6975871894461814
4,4,2000-01-07,1.5272,0.9714,1.938,0.6104,1.831,1.4505,8.2794,7.7783,43.55,1138.0,9.52,6.057,1.6625,7.2285,105.17,3.8,7.966,8.415,73.15,1.5623,30.85,37.3,-0.12425609835851059,0.5341055341055334,0.6582877527615771,-1.163481655340648
5,5,2000-01-10,1.5242,0.9754,1.935,0.6107,1.819,1.4568,8.2794,7.7785,43.55,1133.5,9.445,6.0765,1.6618,7.254,105.28,3.8,8.024,8.449,73.3,1.5704,30.83,37.27,-0.19643792561550022,0.5184663636945475,0.4618498271460769,-0.6450152916461005
6,6,2000-01-11,1.5209,0.9688,1.9365,0.6068,1.8225,1.457,8.2795,7.7785,43.6,1147.0,9.4825,6.09,1.669,7.214,106.09,3.8,7.969,8.397,73.35,1.5605,30.83,37.61,-0.21650702007610656,-0.630412633723898,0.24534280706997036,-1.2754279253699985
7,7,2000-01-12,1.5202,0.9727,1.9286,0.6073,1.835,1.455,8.2796,7.7787,43.6,1144.5,9.515,6.0685,1.669,7.236,105.76,3.8,7.977,8.418,73.35,1.566,30.8,37.54,-0.04602537970938014,0.3524511374559447,0.19931742736059022,-0.9229767879140538
8,8,2000-01-13,1.4954,0.9737,1.9084,0.6067,1.814,1.4495,8.2798,7.7788,43.55,1135.5,9.51,6.057,1.67,7.252,106.09,3.8,7.9425,8.417,73.35,1.5707,30.8,37.49,-1.631364294171811,0.30012771392080584,-1.4320468668112207,-0.622849073993248
9,9,2000-01-14,1.5004,0.9874,1.9186,0.6115,1.805,1.4497,8.2797,7.7789,43.55,1125.0,9.455,6.075,1.6752,7.347,105.86,3.8,7.997,8.474,73.35,1.5945,30.83,37.55,0.33435870001337076,1.5152479786082695,-1.09768816679785,0.8923989046150216
11,11,2000-01-18,1.506,0.988,1.9342,0.6105,1.7942,1.4502,8.2793,7.779,43.6,1127.0,9.441,6.089,1.6735,7.356,105.49,3.8,8.01,8.468,72.85,1.5942,30.89,37.4,0.3732338043188621,-0.018814675446843232,-0.7244543624789879,0.8735842291681784
12,12,2000-01-19,1.5074,0.9886,1.9399,0.6083,1.793,1.4527,8.2797,7.7798,43.6,1134.0,9.418,6.114,1.6753,7.3655,105.39,3.8,8.0,8.487,73.2,1.5965,30.85,37.4,0.0929614873838025,0.14427298958725743,-0.6314928750951854,1.0178572187554358
13,13,2000-01-20,1.5002,0.9869,1.9486,0.6047,1.7785,1.4484,8.2794,7.7795,43.6,1126.0,9.408,6.1,1.6765,7.343,105.45,3.8,7.977,8.468,72.95,1.5915,30.85,37.28,-0.47764362478440736,-0.3131850923896118,-1.1091364998795927,0.704672126365824
14,14,2000-01-21,1.5103,0.9901,1.9592,0.6059,1.78,1.442,8.2795,7.7792,43.6,1128.0,9.447,6.128,1.681,7.3725,104.96,3.8,7.999,8.493,73.3,1.5973,30.85,37.23,0.6732435675243398,0.3644360666038349,-0.43589293235525295,1.0691081929696589
15,15,2000-01-24,1.5281,0.9981,1.9759,0.6053,1.768,1.44,8.2789,7.7795,43.62,1124.5,9.485,6.1675,1.6825,7.428,105.52,3.8,8.026,8.526,72.95,1.609,30.85,37.3,1.1785737932860973,0.7324860702435432,0.7426808609308444,1.801594263213202
16,16,2000-01-25,1.5286,0.9959,1.9732,0.6067,1.78,1.4389,8.2786,7.78,43.59,1127.0,9.525,6.1617,1.6867,7.412,105.87,3.8,8.036,8.521,73.45,1.6085,30.85,37.27,0.03272037170340969,-0.03107520198880609,0.7754012326342541,1.770519061224396
17,17,2000-01-26,1.5373,0.9989,1.9763,0.6099,1.781,1.4379,8.2782,7.7805,43.65,1127.8,9.5175,6.175,1.695,7.433,105.85,3.8,8.0675,8.5285,73.4,1.6102,30.85,37.48,0.56914824021983,0.10568852968604325,1.344549472854084,1.8762075909104392
18,18,2000-01-27,1.5267,1.0111,1.9716,0.6111,1.78,1.435,8.2783,7.7805,43.63,1125.0,9.52,6.227,1.693,7.525,104.91,3.8,8.1475,8.615,73.45,1.6317,30.83,37.46,-0.6895205880439792,1.3352378586510838,0.6550288848101049,3.211445449561523
19,19,2000-01-28,1.5962,1.0241,2.0534,0.6169,1.79,1.4495,8.2781,7.78,43.65,1121.0,9.581,6.3575,1.71,7.6165,107.15,3.8,8.27,8.82,73.05,1.6485,30.75,37.65,4.5523023514770555,1.029601029601035,5.20733123628716,4.2410464791625575
20,20,2000-01-31,1.5669,1.0249,2.019,0.618,1.802,1.4517,8.2777,7.781,43.65,1124.0,9.64,6.3125,1.701,7.633,107.33,3.8,8.301,8.815,73.5,1.6495,30.75,37.55,-1.8356095727352528,0.06066120715801926,3.3717216635519076,4.301707686320577
21,21,2000-02-01,1.5835,1.0276,2.0392,0.6192,1.795,1.4468,8.2774,7.7807,43.62,1127.0,9.597,6.28,1.699,7.6445,107.67,3.8,8.277,8.768,73.55,1.654,31.75,37.51,1.0594166826217277,0.2728099424067931,4.431138346173635,4.57451762872737
22,22,2000-02-02,1.5723,1.0238,2.0416,0.6227,1.785,1.4435,8.2773,7.7805,43.65,1131.0,9.575,6.2825,1.6985,7.6215,108.4,3.8,8.225,8.708,73.25,1.6502,30.8,37.65,-0.7072939690558777,-0.22974607013300785,3.7238443771177576,4.344771558594362
23,23,2000-02-03,1.5657,1.0114,2.0133,0.624,1.775,1.4417,8.2781,7.7812,43.65,1130.5,9.51,6.2575,1.6925,7.52,107.92,3.8,8.158,8.577,73.55,1.6255,30.8,37.59,-0.41976721999618105,-1.4967882680887112,3.3040771571215766,2.8479832905056504
24,24,2000-02-04,1.5835,1.0246,2.0284,0.6283,1.773,1.4467,8.2788,7.781,43.65,1130.0,9.481,6.286,1.693,7.626,107.54,3.8,8.27,8.663,73.55,1.647,30.8,37.55,1.1368716867854456,1.3226699477083992,4.440948843907022,4.170653238214049
25,25,2000-02-07,1.5775,1.0222,2.0259,0.6283,1.77,1.4457,8.2788,7.782,43.64,1129.6,9.436,6.2905,1.6958,7.609,108.75,3.8,8.259,8.66,73.5,1.6426,30.8,37.75,-0.3789074834227968,-0.2671523982999413,4.062041360484225,3.903500839914108
26,26,2000-02-08,1.5741,1.014,2.0243,0.6209,1.765,1.4473,8.2788,7.7809,43.63,1129.5,9.402,6.299,1.6968,7.5455,109.59,3.8,8.1835,8.595,73.6,1.6301,30.75,37.64,-0.2155309033280428,-0.7609886764884943,3.8465104571561826,3.1425121634256135
27,27,2000-02-09,1.576,1.0087,2.0325,0.6205,1.77,1.4443,8.2788,7.781,43.65,1124.0,9.399,6.32,1.6918,7.504,109.11,3.8,8.145,8.544,73.6,1.6232,30.65,37.55,0.12070389428879835,-0.42328691491320125,3.967214351444981,2.719225248512412
28,28,2000-02-10,1.5823,1.0137,2.0263,0.6228,1.77,1.45,8.2788,7.782,43.58,1121.0,9.4365,6.3425,1.6929,7.547,108.74,3.8,8.175,8.585,72.82,1.628,30.65,37.42,0.3997461928934021,0.29571217348447476,4.366960544338383,3.014937421996887
29,29,2000-02-11,1.5918,1.0155,2.0346,0.628,1.767,1.4515,8.2788,7.7814,43.65,1115.0,9.423,6.361,1.6947,7.566,108.99,3.8,8.212,8.608,73.6,1.6305,30.63,37.43,0.6003918346710435,0.15356265356265553,4.9673523790094265,3.1685000755595425
30,30,2000-02-14,1.5926,1.0222,2.0542,0.6293,1.769,1.4547,8.2779,7.78,43.65,1128.0,9.393,6.355,1.6975,7.612,108.65,3.8,8.248,8.679,73.65,1.6435,30.72,37.49,0.05025757004648579,0.7973014412756774,5.017609949055912,3.96580151683522
31,31,2000-02-15,1.5873,1.0169,2.0534,0.627,1.783,1.4585,8.2777,7.781,43.64,1128.0,9.3875,6.355,1.696,7.5743,108.75,3.8,8.2515,8.68,73.75,1.633,30.75,37.52,-0.33278914981791363,-0.6388804380894397,4.684820799237999,3.32692107874578
32,32,2000-02-16,1.587,1.0161,2.0412,0.6234,1.775,1.452,8.2777,7.7814,43.75,1126.0,9.3715,6.3375,1.7033,7.567,109.38,3.8,8.239,8.6695,73.41,1.6302,30.72,37.7,-0.01890001890001436,-0.1714635639926465,4.665920780337984,3.1554575147531336
33,33,2000-02-17,1.5823,1.0139,2.0255,0.6231,1.777,1.4522,8.2772,7.7815,43.68,1128.0,9.398,6.325,1.706,7.555,110.27,3.8,8.285,8.68,73.65,1.6274,30.72,37.77,-0.296156269691239,-0.17175806649492031,4.369764510646745,2.9836994482582133
34,34,2000-02-18,1.5893,1.0152,2.0371,0.6256,1.777,1.4512,8.2772,7.7808,43.68,1129.0,9.354,6.325,1.7058,7.561,110.88,3.8,8.257,8.6725,73.36,1.6282,30.765,38.11,0.44239398344181335,0.049158166400409264,4.812158494088559,3.0328576146586226
36,36,2000-02-22,1.5982,0.994,2.0338,0.6186,1.785,1.4595,8.2773,7.7825,43.65,1135.0,9.427,6.313,1.7085,7.4035,111.04,3.8,8.145,8.5395,73.6,1.5983,30.8,38.22,0.5599949663373849,-1.836383736641689,5.3721534604259435,1.1964738780169335
37,37,2000-02-23,1.6139,0.9983,2.0597,0.6232,1.79,1.4651,8.278,7.7826,43.68,1136.0,9.413,6.335,1.714,7.436,111.11,3.8,8.1775,8.577,73.6,1.6082,30.8,38.09,0.9823551495432348,0.6194081211287061,6.354508609969178,1.8158819991456396
38,38,2000-02-24,1.6276,1.0069,2.0547,0.6257,1.782,1.4587,8.278,7.783,43.65,1144.0,9.382,6.329,1.7165,7.501,110.95,3.8,8.2055,8.619,73.75,1.62,30.85,38.22,0.848875395005888,0.7337395846287897,7.203384004975066,2.5496215837744294
39,39,2000-02-25,1.6194,1.0243,2.0483,0.6286,1.774,1.4505,8.2786,7.783,43.65,1137.0,9.378,6.312,1.711,7.6345,110.98,3.8,8.312,8.695,73.75,1.6475,30.8,37.88,-0.5038092897517776,1.6975308641975273,6.699574715223289,4.247152447971956
40,40,2000-02-28,1.6351,1.0342,2.0636,0.6275,1.779,1.4538,8.2786,7.783,43.68,1135.0,9.4025,6.3725,1.7185,7.6975,109.17,3.8,8.3425,8.6895,73.75,1.6615,30.8,37.95,0.9694948746449272,0.8497723823975623,7.669069589868216,5.0969248303695185
41,41,2000-02-29,1.6247,1.037,2.0555,0.6337,1.769,1.4505,8.2786,7.7833,43.65,1131.31,9.3645,6.34,1.7237,7.724,109.88,3.8,8.381,8.75,73.75,1.6665,30.76,38.13,-0.6360467249709512,0.3009328919650889,7.033022864897265,5.397857722334607
42,42,2000-03-01,1.6483,1.0309,2.0606,0.631,1.769,1.447,8.2786,7.7824,43.63,1128.5,9.363,6.3525,1.7182,7.673,107.1,3.8,8.3115,8.6865,73.75,1.6568,30.75,38.11,1.4525758601588112,-0.5820582058205792,8.485598725056075,4.815799516514028
43,43,2000-03-02,1.6455,1.0396,2.05,0.6343,1.759,1.4543,8.2787,7.7825,43.65,1120.5,9.341,6.368,1.7214,7.7446,107.37,3.8,8.4024,8.805,73.9,1.6714,30.75,38.0,-0.16987198932234548,0.8812168034765699,8.31572673573373,5.697016319990598
44,44,2000-03-03,1.6442,1.0397,2.05,0.6325,1.744,1.451,8.2789,7.7833,43.65,1120.5,9.315,6.49,1.7253,7.7415,107.8,3.8,8.397,8.815,73.9,1.6712,30.75,38.01,-0.07900334244909102,-0.011966016513098587,8.236723393284638,5.6850503034774995
45,45,2000-03-06,1.6622,1.0413,2.079,0.6356,1.747,1.4555,8.2785,7.7835,43.63,1119.3,9.3175,6.5,1.7252,7.755,107.74,3.8,8.4125,8.7865,74.0,1.675,30.8,38.1,1.0947573287920953,0.22738152225945107,9.331480722076734,5.912431825736951
46,46,2000-03-07,1.657,1.046,2.0678,0.634,1.747,1.4527,8.2784,7.784,43.63,1118.7,9.285,6.523,1.7199,7.787,106.2,3.8,8.436,8.804,73.9,1.681,30.75,38.06,-0.3128384069305712,0.358208955223871,9.018642315146163,6.270640780960822
47,47,2000-03-08,1.641,1.0443,2.0513,0.6307,1.754,1.4592,8.2786,7.7845,43.65,1119.2,9.272,6.4825,1.714,7.777,106.89,3.8,8.454,8.851,73.65,1.677,30.76,37.94,-0.965600482800244,-0.2379535990481907,8.053041832345919,6.032687181912631
48,48,2000-03-09,1.6247,1.0326,2.0338,0.6323,1.735,1.457,8.2787,7.7842,43.63,1123.0,9.2925,6.4025,1.708,7.694,106.45,3.8,8.393,8.7235,73.65,1.6595,30.75,37.93,-0.993296770262031,-1.0435301132975638,7.059745062083888,4.989157068615067
49,49,2000-03-10,1.6297,1.0353,2.0202,0.6332,1.738,1.4575,8.2785,7.7848,43.65,1120.2,9.3175,6.3875,1.7035,7.7175,106.27,3.8,8.395,8.72,73.8,1.6661,30.75,37.85,0.307749122915002,0.39771015366074636,7.36749418499889,5.386867222275813
50,50,2000-03-13,1.6221,1.0365,2.0272,0.6336,1.749,1.4614,8.2781,7.7842,43.65,1121.0,9.313,6.435,1.7068,7.7235,105.32,3.8,8.419,8.718,74.05,1.6702,30.75,37.93,-0.4663434988034454,0.24608366844727225,6.901150686195445,5.632950890723086
51,51,2000-03-14,1.6287,1.0369,2.0392,0.6359,1.738,1.4632,8.278,7.7845,43.64,1118.4,9.319,6.44,1.7095,7.7235,104.85,3.8,8.443,8.697,73.62,1.6715,30.74,37.87,0.4068799704087356,0.0778349898215902,7.30803065660418,5.710785880544676
52,52,2000-03-15,1.6327,1.0314,2.0471,0.6357,1.7402,1.468,8.2778,7.7847,43.65,1118.5,9.337,6.475,1.715,7.6855,105.58,3.8,8.417,8.6915,73.62,1.6618,30.75,38.16,0.24559464603670644,-0.5803170804666524,7.553625302640887,5.130468800078024
53,53,2000-03-16,1.6375,1.0299,2.05,0.635,1.736,1.4724,8.2777,7.7846,43.58,1118.0,9.325,6.45,1.712,7.665,105.63,3.8,8.406,8.694,73.64,1.6593,30.815,37.96,0.29399154774298886,-0.15043928270549456,7.847616850383876,4.980029517372529
54,54,2000-03-17,1.6483,1.0316,2.064,0.6367,1.737,1.4728,8.2785,7.7849,43.65,1117.3,9.322,6.47,1.7161,7.676,106.1,3.8,8.4085,8.666,74.0,1.662,30.74,37.97,0.6595419847328365,0.16271921894774888,8.507158835116712,5.142748736320278
55,55,2000-03-20,1.6488,1.0299,2.0683,0.6375,1.74,1.4703,8.2786,7.7855,43.63,1118.18,9.321,6.492,1.72,7.667,106.5,3.8,8.421,8.6425,73.9,1.6605,30.75,38.04,0.030334283807564866,-0.09025270758121762,8.537493118924278,5.052496028739061
56,56,2000-03-21,1.6393,1.0306,2.0396,0.6359,1.7395,1.4662,8.2783,7.7855,43.59,1117.0,9.3,6.484,1.7188,7.676,106.91,3.8,8.429,8.65,73.75,1.6615,30.78,37.9,-0.5761766132945212,0.06022282445046212,7.961316505629757,5.112718853189523
57,57,2000-03-22,1.6513,1.0408,2.0509,0.6367,1.729,1.472,8.2783,7.7858,43.65,1113.0,9.275,6.4575,1.7125,7.751,106.77,3.8,8.466,8.711,73.7,1.675,30.75,37.8,0.7320197645336535,0.8125188083057511,8.69333627016341,5.925237661495274
58,58,2000-03-23,1.6554,1.0319,2.0513,0.6317,1.723,1.4727,8.2787,7.7858,43.65,1110.0,9.2375,6.478,1.7115,7.6875,107.45,3.8,8.388,8.645,73.75,1.6522,30.75,37.75,0.2482892266699066,-1.361194029850754,8.941625496833318,4.56404363164452
59,59,2000-03-24,1.6491,1.0284,2.0479,0.6285,1.73,1.465,8.2789,7.7845,43.65,1108.7,9.1875,6.4835,1.716,7.6575,107.25,3.8,8.345,8.5775,73.74,1.6333,30.7,37.72,-0.3805726712576951,-1.1439293063793654,8.561052825575622,3.4201143252651542
60,60,2000-03-27,1.6356,1.0368,2.0276,0.6307,1.736,1.4605,8.2792,7.7855,43.62,1112.1,9.1825,6.465,1.716,7.719,107.13,3.8,8.406,8.6465,73.85,1.6468,30.65,37.8,-0.8186283427324081,0.8265474805608353,7.742424482843214,4.2466618058259895
61,61,2000-03-28,1.6284,1.0401,1.99,0.63,1.749,1.4541,8.2795,7.785,43.65,1112.5,9.184,6.49,1.715,7.747,105.9,3.8,8.39,8.5675,73.85,1.6551,30.64,37.8,-0.44020542920029104,0.5040077726499836,7.302219053642923,4.750669578475973
62,62,2000-03-29,1.6329,1.05,1.994,0.6301,1.74,1.4555,8.2789,7.7865,43.65,1109.4,9.235,6.5125,1.7168,7.819,105.6,3.8,8.45,8.6675,73.9,1.6725,30.6,37.79,0.2763448784082412,1.0512959941997524,7.578563932051164,5.8019655726757255
63,63,2000-03-30,1.6327,1.0423,2.004,0.6281,1.753,1.4557,8.2788,7.7866,43.65,1107.5,9.306,6.579,1.7194,7.763,105.53,3.8,8.405,8.633,73.85,1.6605,30.6,37.88,-0.012248147467697201,-0.7174887892376636,7.566315784583467,5.0844767834380615
64,64,2000-03-31,1.6496,1.0445,2.0161,0.6281,1.742,1.4538,8.2787,7.7867,43.65,1105.5,9.2895,6.535,1.712,7.775,102.73,3.8,8.435,8.635,73.85,1.663,30.48,37.85,1.0350952410118186,0.1505570611261664,8.601411025595286,5.235033844564228
65,65,2000-04-03,1.6466,1.046,2.0008,0.6258,1.742,1.4548,8.2786,7.7868,43.632,1113.0,9.29,6.565,1.7173,7.7895,104.82,3.8,8.464,8.678,73.85,1.6587,30.5,37.8,-0.18186226964111984,-0.2585688514732398,8.419548755954168,4.976464993090988
66,66,2000-04-04,1.6578,1.043,1.9972,0.6264,1.745,1.4531,8.2791,7.7863,43.65,1114.0,9.312,6.56,1.7183,7.777,105.33,3.8,8.49,8.691,74.18,1.65,30.45,37.86,0.6801894813555087,-0.5245071441490445,9.099738237309676,4.451957848941944
67,67,2000-04-05,1.6521,1.0366,1.9869,0.6289,1.755,1.4548,8.2795,7.7864,43.68,1115.5,9.395,6.6025,1.716,7.7225,105.0,3.8,8.4425,8.6225,74.15,1.633,30.5,38.05,-0.34382917119073486,-1.0303030303030258,8.755909066118942,3.4216548186389177
68,68,2000-04-06,1.6622,1.0438,1.996,0.6329,1.745,1.4515,8.2795,7.787,43.65,1112.0,9.364,6.575,1.715,7.774,104.78,3.8,8.476,8.661,74.18,1.639,30.48,38.05,0.6113431390351698,0.3674219228414044,9.367252205154113,3.789076741480322
69,69,2000-04-07,1.6658,1.0428,1.9988,0.6317,1.746,1.4574,8.2795,7.7878,43.67,1107.5,9.3222,6.561,1.7162,7.767,105.33,3.8,8.482,8.642,74.15,1.6383,30.5,37.995,0.2165804355673151,-0.04270896888346476,9.583832640721429,3.7463677725968574
70,70,2000-04-10,1.6692,1.043,2.006,0.6318,1.738,1.4615,8.2798,7.7875,43.66,1110.5,9.29,6.555,1.719,7.765,106.37,3.8,8.502,8.61,74.05,1.6435,30.35,38.05,0.2041061351903073,0.3174021851919617,9.787938775911737,4.0637699577888196
71,71,2000-04-11,1.6787,1.0426,2.0064,0.63,1.7475,1.4635,8.2791,7.787,43.68,1110.0,9.366,6.5925,1.72,7.767,106.95,3.8,8.526,8.634,74.1,1.6415,30.35,38.07,0.5691349149293146,-0.12169151201704143,10.357073690841052,3.942078445771778
72,72,2000-04-12,1.675,1.047,2.0101,0.6296,1.748,1.4623,8.2796,7.7878,43.7,1108.5,9.397,6.574,1.7193,7.797,105.86,3.8,8.533,8.702,74.05,1.649,30.35,38.05,-0.2204086495502522,0.45689917758149345,10.136665041290799,4.398977623353272
73,73,2000-04-13,1.677,1.05,2.0088,0.6297,1.764,1.4661,8.2794,7.7879,43.7,1107.0,9.399,6.5645,1.716,7.8225,105.76,3.8,8.546,8.723,74.05,1.652,30.35,37.85,0.11940298507462366,0.181928441479684,10.256068026365423,4.580906064832956
74,74,2000-04-14,1.6745,1.0456,2.0096,0.6305,1.786,1.4767,8.2794,7.788,43.75,1111.2,9.501,6.5835,1.7078,7.7908,105.12,3.8,8.5435,8.7,74.04,1.6408,30.45,37.9,-0.14907573047107103,-0.6779661016949046,10.10699229589435,3.902939963138051
75,75,2000-04-17,1.6912,1.0471,2.0222,0.6308,1.789,1.4855,8.2794,7.7882,43.68,1113.8,9.4825,6.621,1.7069,7.7975,104.19,3.8,8.587,8.72,73.8,1.644,30.55,37.97,0.9973126306360047,0.19502681618721596,11.104304926530356,4.097966779325267
76,76,2000-04-18,1.6818,1.0552,2.019,0.6344,1.766,1.4837,8.279,7.7885,43.7,1110.0,9.437,6.61,1.699,7.8615,104.59,3.8,8.631,8.744,74.25,1.6603,30.6,37.92,-0.5558183538316053,0.9914841849148592,10.54848657269875,5.089450964240126
77,77,2000-04-19,1.6787,1.0673,2.006,0.6338,1.766,1.4761,8.2793,7.7886,43.7,1109.5,9.391,6.638,1.6992,7.9525,104.94,3.8,8.714,8.798,74.25,1.6755,30.62,37.98,-0.18432631704126123,0.9154971993013294,10.364160255657488,6.004948163541456
78,78,2000-04-20,1.6861,1.0666,2.0202,0.6329,1.781,1.4725,8.2791,7.7888,43.687,1109.0,9.403,6.702,1.6978,7.9525,105.45,3.8,8.6925,8.8,73.85,1.6772,30.55,37.97,0.4408172991004822,0.10146225007461318,10.80497755475797,6.106410413616069
79,79,2000-04-21,1.6878,1.0662,2.0263,0.6335,1.779,1.475,8.2785,7.7887,43.7,1108.5,9.4045,6.74,1.699,7.949,105.88,3.8,8.677,8.786,74.0,1.676,30.585,37.95,0.10082438764011936,-0.07154781779156183,10.905801942398089,6.034862595824507
80,80,2000-04-24,1.6821,1.0643,2.0218,0.6329,1.79,1.4763,8.2786,7.789,43.655,1108.8,9.4405,6.7325,1.702,7.9203,105.66,3.8,8.673,8.78,74.2,1.6712,30.6,37.98,-0.33771773906861036,-0.28639618138424083,10.568084203329478,5.748466414440266
81,81,2000-04-25,1.679,1.0793,2.0182,0.6334,1.79,1.4699,8.2791,7.7885,43.7,1108.5,9.405,6.7305,1.704,8.048,105.71,3.8,8.806,8.848,74.2,1.6985,30.65,38.04,-0.18429344272040682,1.6335567257060646,10.383790760609072,7.38202314014633
82,82,2000-04-26,1.6978,1.085,2.0555,0.6331,1.799,1.4758,8.2795,7.789,43.7,1108.1,9.409,6.805,1.7055,8.0875,106.46,3.8,8.8275,8.885,74.2,1.7085,30.65,38.15,1.1197141155449675,0.5887547836326279,11.50350487615404,7.970777923778958
83,83,2000-04-27,1.7021,1.101,2.0585,0.635,1.811,1.4792,8.2798,7.789,43.7,1111.0,9.454,6.865,1.707,8.209,106.36,3.8,8.9718,8.9808,74.35,1.731,30.65,38.13,0.25326893627046765,1.3169446883231073,11.756773812424507,9.287722612102066
84,84,2000-04-28,1.7132,1.1002,2.0597,0.6427,1.805,1.4818,8.2799,7.789,43.7,1110.0,9.411,6.783,1.7065,8.1935,107.98,3.8,8.959,8.967,74.55,1.725,30.67,38.09,0.6521355972034515,-0.34662045060658286,12.40890940962796,8.941102161495483
85,85,2000-05-01,1.7241,1.0965,2.0683,0.6428,1.807,1.4783,8.2799,7.789,43.67,1110.0,9.335,6.785,1.709,8.1695,108.89,3.8,8.905,8.9183,74.4,1.7135,30.65,38.12,0.636236282979219,-0.666666666666671,13.045145692607178,8.274435494828811
86,86,2000-05-02,1.7074,1.1028,2.058,0.6414,1.8,1.4857,8.2799,7.7895,43.75,1110.1,9.334,6.775,1.7178,8.221,108.63,3.8,8.9535,8.941,74.55,1.7185,30.68,38.35,-0.9686213096688046,0.29180040852057054,12.076524382938373,8.566235903349382
87,87,2000-05-03,1.6949,1.1247,2.045,0.6408,1.816,1.4923,8.2799,7.79,43.73,1110.0,9.3675,6.845,1.7215,8.3805,109.14,3.8,9.071,9.077,74.05,1.7369,30.75,38.5,-0.7321072976455456,1.0707011929008026,11.344417085292829,9.636937096250184
88,88,2000-05-04,1.6909,1.1227,2.0375,0.6479,1.814,1.498,8.2799,7.79,43.67,1111.5,9.3965,6.9225,1.722,8.373,108.17,3.8,9.102,9.104,74.7,1.7353,30.72,38.51,-0.23600212401911902,-0.09211814151649511,11.10841496127371,9.544818954733689
89,89,2000-05-05,1.6849,1.1169,2.0437,0.6541,1.8125,1.498,8.2799,7.7898,43.7,1111.0,9.48,6.94,1.7222,8.3255,108.53,3.8,9.106,9.103,74.7,1.7323,30.68,38.55,-0.35484061742266926,-0.17288076989570023,10.75357434385104,9.371938184837989
90,90,2000-05-08,1.7036,1.1173,2.0631,0.6532,1.805,1.4927,8.2798,7.7893,43.7,1109.7,9.4825,6.94,1.7235,8.326,109.03,3.8,9.093,9.095,74.4,1.7305,30.7,38.5,1.1098581518190986,-0.10390809905905796,11.86343249567014,9.26803008577893
91,91,2000-05-09,1.7159,1.1083,2.0877,0.653,1.8075,1.4945,8.279,7.7899,43.7,1109.5,9.4875,7.09,1.7295,8.261,109.61,3.8,9.051,9.0592,74.5,1.7219,30.65,38.68,0.7220004695938087,-0.49696619474139947,12.585432965263948,8.771063891037532
92,92,2000-05-10,1.7197,1.0993,2.0942,0.6599,1.818,1.4955,8.2785,7.7898,44.3,1109.2,9.572,7.0755,1.729,8.198,109.33,3.8,9.045,9.0575,74.8,1.715,30.73,38.71,0.22145812693048494,-0.40072013473487766,12.806891092194434,8.370343756302654
93,93,2000-05-11,1.7271,1.1085,2.0934,0.6668,1.82,1.49,8.2782,7.7898,44.44,1113.0,9.583,6.975,1.7263,8.2675,108.47,3.8,9.139,9.16,74.55,1.7252,30.76,39.0,0.43030761179276844,0.5947521865889316,13.237198703987202,8.965095942891587
94,94,2000-05-12,1.7212,1.1013,2.0855,0.6591,1.83,1.4872,8.2778,7.79,44.15,1113.5,9.5627,7.04,1.7278,8.2177,108.74,3.8,9.0115,9.092,74.6,1.709,30.75,38.9,-0.34161310867929506,-0.9390215627173681,12.895585595307907,8.026074380174219
95,95,2000-05-15,1.7425,1.0943,2.1093,0.6633,1.845,1.4897,8.2777,7.7895,44.44,1114.9,9.576,7.04,1.7335,8.1656,109.48,3.8,8.963,9.063,75.1,1.7033,30.83,39.35,1.2375087148500885,-0.3335283791691124,14.133094310157995,7.692546001005106
96,96,2000-05-16,1.7322,1.1046,2.1142,0.6663,1.823,1.4862,8.2772,7.7902,44.05,1115.0,9.508,7.0725,1.7325,8.248,109.75,3.8,9.0505,9.103,75.15,1.7152,30.84,39.45,-0.5911047345767528,0.6986438090764935,13.541989575581242,8.391189810081599
97,97,2000-05-17,1.759,1.121,2.1692,0.6709,1.833,1.4992,8.2768,7.791,44.02,1115.6,9.5505,7.1175,1.734,8.3645,109.53,3.8,9.152,9.201,75.1,1.7398,30.75,39.4,1.5471654543355307,1.434235074626855,15.089155029916773,9.825424884708454
